Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
255.74,-0.58,-0.23%,17 Apr 2025
256.32,-8.43,-3.18%,16 Apr 2025
264.75,0.52,0.20%,15 Apr 2025
264.23,-0.23,-0.09%,14 Apr 2025
264.46,1.52,0.58%,11 Apr 2025
262.94,-12.15,-4.42%,10 Apr 2025
275.09,23.61,9.39%,09 Apr 2025
251.48,-3.12,-1.23%,08 Apr 2025
254.6,2.64,1.05%,07 Apr 2025
251.96,-11.68,-4.43%,04 Apr 2025
263.64,-14.52,-5.22%,03 Apr 2025
278.16,1.91,0.69%,02 Apr 2025
276.25,1.90,0.69%,01 Apr 2025
274.35,0.64,0.23%,31 Mar 2025
273.71,-6.73,-2.40%,28 Mar 2025
280.44,-2.01,-0.71%,27 Mar 2025
282.45,-4.73,-1.65%,26 Mar 2025
287.18,0.27,0.09%,25 Mar 2025
286.91,7.10,2.54%,24 Mar 2025
279.81,1.04,0.37%,21 Mar 2025
278.77,0.00,0.00%,20 Mar 2025
278.77,3.77,1.37%,19 Mar 2025
275.0,-4.60,-1.65%,18 Mar 2025
279.6,0.73,0.26%,17 Mar 2025
278.87,5.83,2.14%,14 Mar 2025
273.04,-4.61,-1.66%,13 Mar 2025
277.65,4.48,1.64%,12 Mar 2025
273.17,-1.11,-0.40%,11 Mar 2025
274.28,-8.34,-2.95%,10 Mar 2025
282.62,-0.64,-0.23%,07 Mar 2025
283.26,-8.00,-2.75%,06 Mar 2025
291.26,2.55,0.88%,05 Mar 2025
288.71,-2.74,-0.94%,04 Mar 2025
291.45,-7.96,-2.66%,03 Mar 2025
299.41,5.89,2.01%,28 Feb 2025
293.52,-6.05,-2.02%,27 Feb 2025
299.57,2.52,0.85%,26 Feb 2025
297.05,-2.93,-0.98%,25 Feb 2025
299.98,-2.80,-0.92%,24 Feb 2025
302.78,-5.56,-1.80%,21 Feb 2025
308.34,-5.34,-1.70%,20 Feb 2025
313.68,-0.49,-0.16%,19 Feb 2025
314.17,-0.22,-0.07%,18 Feb 2025
314.39,-1.63,-0.52%,14 Feb 2025
316.02,0.33,0.10%,13 Feb 2025
315.69,-1.79,-0.56%,12 Feb 2025
317.48,-2.01,-0.63%,11 Feb 2025
319.49,3.65,1.16%,10 Feb 2025
315.84,-2.28,-0.72%,07 Feb 2025
318.12,2.07,0.65%,06 Feb 2025
316.05,0.99,0.31%,05 Feb 2025
315.06,0.94,0.30%,04 Feb 2025
314.12,-1.09,-0.35%,03 Feb 2025
315.21,0.84,0.27%,31 Jan 2025
314.37,1.73,0.55%,30 Jan 2025
312.64,-2.29,-0.73%,29 Jan 2025
314.93,6.23,2.02%,28 Jan 2025
308.7,-9.49,-2.98%,27 Jan 2025
318.19,-3.39,-1.05%,24 Jan 2025
321.58,1.81,0.57%,23 Jan 2025
319.77,5.84,1.86%,22 Jan 2025
313.93,0.64,0.20%,21 Jan 2025
313.29,3.80,1.23%,17 Jan 2025
309.49,-0.69,-0.22%,16 Jan 2025
310.18,6.26,2.06%,15 Jan 2025
303.92,-2.14,-0.70%,14 Jan 2025
306.06,-0.91,-0.30%,13 Jan 2025
306.97,-3.14,-1.01%,10 Jan 2025
310.11,1.36,0.44%,08 Jan 2025
308.75,-5.24,-1.67%,07 Jan 2025
313.99,2.37,0.76%,06 Jan 2025
311.62,4.60,1.50%,03 Jan 2025
307.02,1.89,0.62%,02 Jan 2025
305.13,-1.23,-0.40%,31 Dec 2024
306.36,-2.89,-0.93%,30 Dec 2024
309.25,-4.84,-1.54%,27 Dec 2024
314.09,4.09,1.32%,24 Dec 2024
310.0,3.59,1.17%,23 Dec 2024
306.41,1.46,0.48%,20 Dec 2024
304.95,-0.82,-0.27%,19 Dec 2024
305.77,-7.16,-2.29%,18 Dec 2024
312.93,-2.11,-0.67%,17 Dec 2024
