Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
10.67,0.06,0.57%,17 Apr 2025
10.61,-0.14,-1.30%,16 Apr 2025
10.75,0.05,0.47%,15 Apr 2025
10.7,0.15,1.42%,14 Apr 2025
10.55,0.15,1.44%,11 Apr 2025
10.4,-0.10,-0.95%,10 Apr 2025
10.5,0.33,3.24%,09 Apr 2025
10.17,-0.12,-1.17%,08 Apr 2025
10.29,-0.32,-3.02%,07 Apr 2025
10.61,-0.45,-4.07%,04 Apr 2025
11.06,-0.19,-1.69%,03 Apr 2025
11.25,-0.01,-0.09%,02 Apr 2025
11.26,0.04,0.36%,01 Apr 2025
11.22,-0.07,-0.62%,31 Mar 2025
11.29,-0.15,-1.31%,28 Mar 2025
11.44,0.03,0.26%,27 Mar 2025
11.41,-0.08,-0.70%,26 Mar 2025
11.49,-0.01,-0.09%,25 Mar 2025
11.5,0.04,0.35%,24 Mar 2025
11.46,-0.08,-0.69%,21 Mar 2025
11.54,-0.08,-0.69%,20 Mar 2025
11.62,0.02,0.17%,19 Mar 2025
11.6,-0.01,-0.09%,18 Mar 2025
11.61,0.17,1.49%,17 Mar 2025
11.44,0.13,1.15%,14 Mar 2025
11.31,-0.02,-0.18%,13 Mar 2025
11.33,0.03,0.27%,12 Mar 2025
11.3,0.05,0.44%,11 Mar 2025
11.25,-0.22,-1.92%,10 Mar 2025
11.47,0.02,0.17%,07 Mar 2025
11.45,-0.07,-0.61%,06 Mar 2025
11.52,0.28,2.49%,05 Mar 2025
11.24,0.06,0.54%,04 Mar 2025
11.18,-0.08,-0.71%,03 Mar 2025
11.26,-0.17,-1.49%,28 Feb 2025
11.43,-0.15,-1.30%,27 Feb 2025
11.58,0.13,1.14%,26 Feb 2025
11.45,0.02,0.17%,25 Feb 2025
11.43,-0.14,-1.21%,24 Feb 2025
11.57,0.01,0.09%,21 Feb 2025
11.56,0.03,0.26%,20 Feb 2025
11.53,-0.05,-0.43%,19 Feb 2025
11.58,0.08,0.70%,18 Feb 2025
11.5,0.13,1.14%,14 Feb 2025
11.37,0.00,0.00%,13 Feb 2025
11.37,0.01,0.09%,12 Feb 2025
11.36,-0.03,-0.26%,11 Feb 2025
11.39,0.08,0.71%,10 Feb 2025
11.31,0.01,0.09%,07 Feb 2025
11.3,0.02,0.18%,06 Feb 2025
11.28,0.01,0.09%,05 Feb 2025
11.27,0.16,1.44%,04 Feb 2025
11.11,-0.07,-0.63%,03 Feb 2025
11.18,-0.08,-0.71%,31 Jan 2025
11.26,0.12,1.08%,30 Jan 2025
11.14,-0.01,-0.09%,29 Jan 2025
11.15,0.08,0.72%,28 Jan 2025
11.07,-0.13,-1.16%,27 Jan 2025
11.2,0.06,0.54%,24 Jan 2025
11.14,-0.01,-0.09%,23 Jan 2025
11.15,0.02,0.18%,22 Jan 2025
11.13,0.08,0.72%,21 Jan 2025
11.05,0.05,0.45%,17 Jan 2025
11.0,0.01,0.09%,16 Jan 2025
10.99,0.15,1.38%,15 Jan 2025
10.84,0.08,0.74%,14 Jan 2025
10.76,-0.08,-0.74%,13 Jan 2025
10.84,-0.14,-1.28%,10 Jan 2025
10.98,-0.05,-0.45%,08 Jan 2025
11.03,-0.07,-0.63%,07 Jan 2025
11.1,0.03,0.27%,06 Jan 2025
11.07,0.07,0.64%,03 Jan 2025
11.0,-0.01,-0.09%,02 Jan 2025
11.01,-0.05,-0.45%,31 Dec 2024
11.06,-0.05,-0.45%,30 Dec 2024
11.11,-0.05,-0.45%,27 Dec 2024
11.16,0.01,0.09%,24 Dec 2024
11.15,0.05,0.45%,23 Dec 2024
11.1,0.04,0.36%,20 Dec 2024
11.06,0.00,0.00%,19 Dec 2024
11.06,-0.14,-1.25%,18 Dec 2024
11.2,-0.02,-0.18%,17 Dec 2024
11.22,-0.01,-0.09%,16 Dec 2024
11.23,0.01,0.09%,13 Dec 2024
11.22,-0.06,-0.53%,12 Dec 2024
11.28,0.04,0.36%,11 Dec 2024
11.24,-0.10,-0.88%,10 Dec 2024
11.34,0.12,1.07%,09 Dec 2024
11.22,0.02,0.18%,06 Dec 2024
11.2,0.03,0.27%,05 Dec 2024
11.17,0.01,0.09%,04 Dec 2024
11.16,0.04,0.36%,03 Dec 2024
11.12,0.07,0.63%,02 Dec 2024
11.05,-0.03,-0.27%,29 Nov 2024
11.08,0.03,0.27%,27 Nov 2024
11.05,-0.01,-0.09%,26 Nov 2024
11.06,0.00,0.00%,25 Nov 2024
11.06,-0.01,-0.09%,22 Nov 2024
11.07,-0.03,-0.27%,21 Nov 2024
11.1,0.03,0.27%,20 Nov 2024
11.07,0.02,0.18%,19 Nov 2024
11.05,0.09,0.82%,18 Nov 2024
10.96,-0.05,-0.45%,15 Nov 2024
11.01,-0.03,-0.27%,14 Nov 2024
11.04,-0.06,-0.54%,13 Nov 2024
11.1,-0.16,-1.42%,12 Nov 2024
11.26,-0.04,-0.35%,11 Nov 2024
11.3,-0.14,-1.22%,08 Nov 2024
11.44,0.14,1.24%,07 Nov 2024
11.3,-0.04,-0.35%,06 Nov 2024
11.34,0.12,1.07%,05 Nov 2024
11.22,0.09,0.81%,04 Nov 2024
11.13,-0.13,-1.15%,31 Oct 2024
11.26,-0.09,-0.79%,30 Oct 2024
11.35,-0.02,-0.18%,29 Oct 2024
11.37,0.01,0.09%,28 Oct 2024
11.36,0.00,0.00%,25 Oct 2024
11.36,-0.03,-0.26%,24 Oct 2024
11.39,-0.06,-0.52%,23 Oct 2024
11.45,-0.02,-0.17%,22 Oct 2024
11.47,-0.06,-0.52%,21 Oct 2024
11.53,0.11,0.96%,18 Oct 2024
11.42,-0.13,-1.13%,17 Oct 2024
11.55,0.12,1.05%,16 Oct 2024
11.43,-0.18,-1.55%,15 Oct 2024
11.61,-0.01,-0.09%,14 Oct 2024
11.62,0.08,0.69%,11 Oct 2024
11.54,0.05,0.44%,10 Oct 2024
11.49,-0.08,-0.69%,09 Oct 2024
11.57,-0.15,-1.28%,08 Oct 2024
11.72,-0.01,-0.09%,07 Oct 2024
11.73,0.07,0.60%,04 Oct 2024
11.66,-0.05,-0.43%,03 Oct 2024
11.71,0.11,0.95%,02 Oct 2024
11.6,0.07,0.61%,01 Oct 2024
11.53,-0.12,-1.03%,30 Sep 2024
11.65,-0.06,-0.51%,27 Sep 2024
11.71,0.29,2.54%,26 Sep 2024
11.42,-0.02,-0.17%,25 Sep 2024
11.44,0.23,2.05%,24 Sep 2024
11.21,0.04,0.36%,23 Sep 2024
11.17,-0.03,-0.27%,20 Sep 2024
11.2,0.17,1.54%,19 Sep 2024
11.03,-0.01,-0.09%,18 Sep 2024
11.04,0.00,0.00%,17 Sep 2024
11.04,0.03,0.27%,16 Sep 2024
11.01,0.03,0.27%,13 Sep 2024
10.98,0.09,0.83%,12 Sep 2024
10.89,0.03,0.28%,11 Sep 2024
10.86,-0.05,-0.46%,10 Sep 2024
