Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
9.1566,0.0007,0.01%,17 Apr 2025
9.1559,0.0052,0.06%,16 Apr 2025
9.1507,-0.0353,-0.38%,15 Apr 2025
9.186,0.0050,0.05%,14 Apr 2025
9.181,-0.0151,-0.16%,11 Apr 2025
9.1961,0.0087,0.09%,10 Apr 2025
9.1874,-0.0072,-0.08%,09 Apr 2025
9.1946,-0.0049,-0.05%,08 Apr 2025
9.1995,-0.0078,-0.08%,07 Apr 2025
9.2073,-0.0052,-0.06%,04 Apr 2025
9.2125,-0.0051,-0.06%,03 Apr 2025
9.2176,-0.0005,-0.01%,02 Apr 2025
9.2181,0.0008,0.01%,01 Apr 2025
9.2173,0.0028,0.03%,31 Mar 2025
9.2145,0.0014,0.02%,28 Mar 2025
9.2131,-0.0008,-0.01%,27 Mar 2025
9.2139,0.0010,0.01%,26 Mar 2025
9.2129,0.0014,0.02%,25 Mar 2025
9.2115,0.0036,0.04%,24 Mar 2025
9.2079,0.0018,0.02%,21 Mar 2025
9.2061,-0.0020,-0.02%,20 Mar 2025
9.2081,-0.0002,0.00%,19 Mar 2025
9.2083,0.0042,0.05%,18 Mar 2025
9.2041,-0.0328,-0.36%,17 Mar 2025
9.2369,-0.0032,-0.03%,14 Mar 2025
9.2401,-0.0021,-0.02%,13 Mar 2025
9.2422,0.0011,0.01%,12 Mar 2025
9.2411,-0.0008,-0.01%,11 Mar 2025
9.2419,0.0008,0.01%,10 Mar 2025
9.2411,0.0042,0.05%,07 Mar 2025
9.2369,0.0038,0.04%,06 Mar 2025
9.2331,0.0003,0.00%,05 Mar 2025
9.2328,-0.0002,0.00%,04 Mar 2025
9.233,0.0014,0.02%,03 Mar 2025
9.2316,0.0013,0.01%,28 Feb 2025
9.2303,-0.0017,-0.02%,27 Feb 2025
9.232,-0.0030,-0.03%,26 Feb 2025
9.235,0.0030,0.03%,25 Feb 2025
9.232,0.0031,0.03%,24 Feb 2025
9.2289,0.0003,0.00%,21 Feb 2025
9.2286,0.0012,0.01%,20 Feb 2025
9.2274,0.0043,0.05%,19 Feb 2025
9.2231,-0.0318,-0.34%,18 Feb 2025
9.2549,-0.0004,0.00%,14 Feb 2025
9.2553,0.0045,0.05%,13 Feb 2025
9.2508,0.0010,0.01%,12 Feb 2025
9.2498,0.0003,0.00%,11 Feb 2025
9.2495,0.0049,0.05%,10 Feb 2025
9.2446,-0.0004,0.00%,07 Feb 2025
9.245,-0.0021,-0.02%,06 Feb 2025
9.2471,0.0008,0.01%,05 Feb 2025
9.2463,-0.0002,0.00%,04 Feb 2025
9.2465,0.0071,0.08%,03 Feb 2025
9.2394,-0.0016,-0.02%,31 Jan 2025
9.241,0.0041,0.04%,30 Jan 2025
9.2369,0.0037,0.04%,29 Jan 2025
9.2332,-0.0042,-0.05%,28 Jan 2025
9.2374,0.0054,0.06%,27 Jan 2025
9.232,0.0019,0.02%,24 Jan 2025
9.2301,-0.0017,-0.02%,23 Jan 2025
9.2318,-0.0005,-0.01%,22 Jan 2025
9.2323,0.0083,0.09%,21 Jan 2025
9.224,-0.0015,-0.02%,17 Jan 2025
9.2255,0.0003,0.00%,16 Jan 2025
9.2252,-0.0349,-0.38%,15 Jan 2025
9.2601,0.0020,0.02%,14 Jan 2025
9.2581,0.0036,0.04%,13 Jan 2025
9.2545,-0.0011,-0.01%,10 Jan 2025
9.2556,0.0004,0.00%,08 Jan 2025
9.2552,0.0000,0.00%,07 Jan 2025
9.2552,0.0019,0.02%,06 Jan 2025
9.2533,-0.0006,-0.01%,03 Jan 2025
9.2539,0.0008,0.01%,02 Jan 2025
9.2531,0.0035,0.04%,31 Dec 2024
9.2496,0.0061,0.07%,30 Dec 2024
9.2435,0.0034,0.04%,27 Dec 2024
9.2401,-0.0013,-0.01%,23 Dec 2024
9.2414,0.0007,0.01%,20 Dec 2024
9.2407,0.0060,0.06%,19 Dec 2024
9.2347,-0.0026,-0.03%,18 Dec 2024
9.2373,-0.0028,-0.03%,17 Dec 2024
9.2401,-0.0289,-0.31%,16 Dec 2024
9.269,0.0000,0.00%,13 Dec 2024
9.269,0.0011,0.01%,12 Dec 2024
9.2679,0.0017,0.02%,11 Dec 2024
9.2662,0.0028,0.03%,10 Dec 2024
9.2634,0.0046,0.05%,09 Dec 2024
9.2588,0.0018,0.02%,06 Dec 2024
9.257,0.0022,0.02%,05 Dec 2024
9.2548,0.0019,0.02%,04 Dec 2024
9.2529,-0.0002,0.00%,03 Dec 2024
9.2531,0.0001,0.00%,02 Dec 2024
9.253,0.0047,0.05%,29 Nov 2024
9.2483,0.0025,0.03%,27 Nov 2024
9.2458,-0.0019,-0.02%,26 Nov 2024
9.2477,0.0035,0.04%,25 Nov 2024
9.2442,-0.0010,-0.01%,22 Nov 2024
9.2452,0.0024,0.03%,21 Nov 2024
9.2428,-0.0063,-0.07%,20 Nov 2024
9.2491,0.0062,0.07%,19 Nov 2024
9.2429,0.0026,0.03%,18 Nov 2024
9.2403,-0.0333,-0.36%,15 Nov 2024
9.2736,-0.0023,-0.02%,14 Nov 2024
9.2759,0.0003,0.00%,13 Nov 2024
9.2756,0.0032,0.03%,12 Nov 2024
9.2724,-0.0003,0.00%,08 Nov 2024
9.2727,0.0043,0.05%,07 Nov 2024
9.2684,-0.0039,-0.04%,06 Nov 2024
9.2723,0.0010,0.01%,05 Nov 2024
9.2713,0.0109,0.12%,04 Nov 2024
9.2604,-0.0016,-0.02%,31 Oct 2024
9.262,0.0013,0.01%,30 Oct 2024
9.2607,0.0017,0.02%,29 Oct 2024
9.259,0.0041,0.04%,28 Oct 2024
9.2549,0.0001,0.00%,25 Oct 2024
9.2548,0.0042,0.05%,24 Oct 2024
9.2506,0.0004,0.00%,23 Oct 2024
9.2502,0.0017,0.02%,22 Oct 2024
9.2485,0.0031,0.03%,21 Oct 2024
9.2454,0.0036,0.04%,18 Oct 2024
9.2418,-0.0025,-0.03%,17 Oct 2024
9.2443,0.0021,0.02%,16 Oct 2024
9.2422,-0.0267,-0.29%,15 Oct 2024
9.2689,-0.0001,0.00%,11 Oct 2024
9.269,0.0006,0.01%,10 Oct 2024
9.2684,0.0002,0.00%,09 Oct 2024
9.2682,0.0064,0.07%,08 Oct 2024
9.2618,0.0022,0.02%,07 Oct 2024
9.2596,0.0063,0.07%,04 Oct 2024
9.2533,0.0003,0.00%,03 Oct 2024
9.253,0.0011,0.01%,02 Oct 2024
9.2519,0.0030,0.03%,01 Oct 2024
9.2489,0.0015,0.02%,30 Sep 2024
9.2474,0.0010,0.01%,27 Sep 2024
9.2464,-0.0019,-0.02%,26 Sep 2024
9.2483,0.0002,0.00%,25 Sep 2024
9.2481,0.0030,0.03%,24 Sep 2024
9.2451,-0.0006,-0.01%,23 Sep 2024
9.2457,0.0042,0.05%,20 Sep 2024
9.2415,0.0041,0.04%,19 Sep 2024
9.2374,0.0001,0.00%,18 Sep 2024
9.2373,0.0004,0.00%,17 Sep 2024
9.2369,-0.0355,-0.38%,16 Sep 2024
9.2724,0.0039,0.04%,13 Sep 2024
9.2685,-0.0025,-0.03%,12 Sep 2024
9.271,0.0011,0.01%,11 Sep 2024
9.2699,0.0022,0.02%,10 Sep 2024
9.2677,0.0005,0.01%,09 Sep 2024
9.2672,0.0026,0.03%,06 Sep 2024
9.2646,-0.0012,-0.01%,05 Sep 2024
9.2658,-0.0033,-0.04%,04 Sep 2024
9.2691,0.0073,0.08%,03 Sep 2024
9.2618,0.0027,0.03%,30 Aug 2024
9.2591,-0.0012,-0.01%,29 Aug 2024
9.2603,0.0027,0.03%,28 Aug 2024
9.2576,0.0027,0.03%,27 Aug 2024
9.2549,0.0028,0.03%,23 Aug 2024
9.2521,-0.0022,-0.02%,22 Aug 2024
9.2543,0.0021,0.02%,21 Aug 2024
9.2522,0.0030,0.03%,20 Aug 2024
9.2492,0.0054,0.06%,19 Aug 2024
9.2438,-0.0301,-0.32%,16 Aug 2024
9.2739,0.0010,0.01%,14 Aug 2024
9.2729,0.0030,0.03%,13 Aug 2024
9.2699,0.0030,0.03%,12 Aug 2024
9.2669,0.0015,0.02%,09 Aug 2024
9.2654,0.0072,0.08%,08 Aug 2024
9.2582,0.0032,0.03%,07 Aug 2024
9.255,-0.0131,-0.14%,06 Aug 2024
9.2681,-0.0045,-0.05%,05 Aug 2024
9.2726,-0.0037,-0.04%,02 Aug 2024
9.2763,0.0064,0.07%,01 Aug 2024
9.2699,-0.0005,-0.01%,31 Jul 2024
9.2704,-0.0015,-0.02%,30 Jul 2024
9.2719,0.0039,0.04%,29 Jul 2024
9.268,0.0015,0.02%,26 Jul 2024
9.2665,-0.0004,0.00%,25 Jul 2024
9.2669,-0.0016,-0.02%,24 Jul 2024
9.2685,0.0032,0.03%,23 Jul 2024
9.2653,0.0030,0.03%,22 Jul 2024
9.2623,0.0003,0.00%,19 Jul 2024
9.262,-0.0016,-0.02%,18 Jul 2024
9.2636,-0.0004,0.00%,17 Jul 2024
9.264,0.0014,0.02%,16 Jul 2024
9.2626,-0.0356,-0.38%,15 Jul 2024
9.2982,-0.0006,-0.01%,12 Jul 2024
9.2988,-0.0001,0.00%,11 Jul 2024
9.2989,0.0005,0.01%,10 Jul 2024
9.2984,0.0015,0.02%,09 Jul 2024
9.2969,-0.0005,-0.01%,08 Jul 2024
9.2974,0.0066,0.07%,05 Jul 2024
9.2908,0.0011,0.01%,03 Jul 2024
9.2897,0.0049,0.05%,02 Jul 2024
9.2848,0.0069,0.07%,01 Jul 2024
9.2779,0.0034,0.04%,28 Jun 2024
9.2745,-0.0001,0.00%,27 Jun 2024
9.2746,-0.0003,0.00%,26 Jun 2024
9.2749,0.0016,0.02%,25 Jun 2024
9.2733,0.0040,0.04%,24 Jun 2024
