Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.5,-0.010,-0.66%,21 Apr 2025
1.51,-0.001,-0.07%,18 Apr 2025
1.511,-0.003,-0.20%,17 Apr 2025
1.514,0.000,0.00%,16 Apr 2025
1.514,0.020,1.34%,15 Apr 2025
1.494,0.030,2.05%,14 Apr 2025
1.464,0.013,0.90%,11 Apr 2025
1.451,0.043,3.05%,10 Apr 2025
1.408,-0.042,-2.90%,09 Apr 2025
1.45,0.034,2.40%,08 Apr 2025
1.416,-0.062,-4.19%,07 Apr 2025
1.478,-0.058,-3.78%,04 Apr 2025
1.536,-0.011,-0.71%,03 Apr 2025
1.547,-0.003,-0.19%,02 Apr 2025
1.55,0.008,0.52%,01 Apr 2025
1.542,-0.009,-0.58%,31 Mar 2025
1.551,0.000,0.00%,28 Mar 2025
1.551,0.001,0.06%,27 Mar 2025
1.55,-0.001,-0.06%,26 Mar 2025
1.551,0.003,0.19%,25 Mar 2025
1.548,-0.004,-0.26%,24 Mar 2025
1.552,-0.004,-0.26%,21 Mar 2025
1.556,-0.001,-0.06%,20 Mar 2025
1.557,0.001,0.06%,19 Mar 2025
1.556,-0.004,-0.26%,18 Mar 2025
1.56,0.014,0.91%,17 Mar 2025
1.546,0.007,0.45%,14 Mar 2025
1.539,-0.005,-0.32%,13 Mar 2025
1.544,0.003,0.19%,12 Mar 2025
1.541,-0.027,-1.72%,11 Mar 2025
1.568,0.006,0.38%,10 Mar 2025
1.562,0.005,0.32%,07 Mar 2025
1.557,-0.001,-0.06%,06 Mar 2025
1.558,0.002,0.13%,05 Mar 2025
1.556,-0.012,-0.77%,04 Mar 2025
1.568,0.012,0.77%,03 Mar 2025
1.556,-0.003,-0.19%,28 Feb 2025
1.559,-0.007,-0.45%,27 Feb 2025
1.566,0.007,0.45%,26 Feb 2025
1.559,0.004,0.26%,25 Feb 2025
1.555,0.002,0.13%,24 Feb 2025
1.553,0.003,0.19%,21 Feb 2025
1.55,-0.002,-0.13%,20 Feb 2025
1.552,-0.004,-0.26%,19 Feb 2025
1.556,0.003,0.19%,18 Feb 2025
1.553,0.005,0.32%,17 Feb 2025
1.548,-0.008,-0.51%,14 Feb 2025
1.556,0.012,0.78%,13 Feb 2025
1.544,0.000,0.00%,12 Feb 2025
1.544,0.003,0.19%,11 Feb 2025
1.541,0.001,0.06%,10 Feb 2025
1.54,0.002,0.13%,07 Feb 2025
1.538,0.007,0.46%,06 Feb 2025
1.531,0.005,0.33%,05 Feb 2025
1.526,0.002,0.13%,04 Feb 2025
1.524,-0.014,-0.91%,03 Feb 2025
1.538,0.001,0.07%,31 Jan 2025
1.537,0.013,0.85%,30 Jan 2025
1.524,0.002,0.13%,29 Jan 2025
1.522,0.007,0.46%,28 Jan 2025
1.515,-0.003,-0.20%,27 Jan 2025
1.518,-0.003,-0.20%,24 Jan 2025
1.521,0.002,0.13%,23 Jan 2025
1.519,0.006,0.40%,22 Jan 2025
1.513,0.006,0.40%,21 Jan 2025
1.507,0.000,0.00%,20 Jan 2025
1.507,0.010,0.67%,17 Jan 2025
1.497,0.010,0.67%,16 Jan 2025
1.487,0.017,1.16%,15 Jan 2025
1.47,0.005,0.34%,14 Jan 2025
1.465,-0.009,-0.61%,13 Jan 2025
1.474,-0.019,-1.27%,10 Jan 2025
1.493,0.004,0.27%,09 Jan 2025
1.489,0.000,0.00%,08 Jan 2025
1.489,-0.002,-0.13%,07 Jan 2025
1.491,0.006,0.40%,06 Jan 2025
1.485,-0.002,-0.13%,03 Jan 2025
1.487,0.005,0.34%,02 Jan 2025
1.482,0.003,0.20%,31 Dec 2024
1.479,-0.009,-0.60%,30 Dec 2024
1.488,-0.006,-0.40%,27 Dec 2024
1.494,0.007,0.47%,26 Dec 2024
1.487,0.008,0.54%,24 Dec 2024
1.479,-0.001,-0.07%,23 Dec 2024
1.48,0.001,0.07%,20 Dec 2024
1.479,-0.022,-1.47%,19 Dec 2024
1.501,0.000,0.00%,18 Dec 2024
1.501,-0.007,-0.46%,17 Dec 2024
1.508,0.000,0.00%,16 Dec 2024
1.508,0.005,0.33%,13 Dec 2024
1.503,-0.007,-0.46%,12 Dec 2024
1.51,-0.001,-0.07%,11 Dec 2024
1.511,-0.004,-0.26%,10 Dec 2024
1.515,-0.016,-1.05%,09 Dec 2024
1.531,-0.007,-0.46%,06 Dec 2024
