Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
13.7871,0.1733,1.27%,17 Apr 2025
13.6138,-0.0196,-0.14%,16 Apr 2025
13.6334,0.2784,2.08%,15 Apr 2025
13.355,-0.0009,-0.01%,11 Apr 2025
13.3559,-0.0829,-0.62%,09 Apr 2025
13.4388,0.1643,1.24%,08 Apr 2025
13.2745,-0.3959,-2.90%,07 Apr 2025
13.6704,0.0014,0.01%,04 Apr 2025
13.669,-0.1633,-1.18%,03 Apr 2025
13.8323,0.1250,0.91%,02 Apr 2025
13.7073,-0.1752,-1.26%,01 Apr 2025
13.8825,0.0400,0.29%,28 Mar 2025
13.8425,0.0662,0.48%,27 Mar 2025
13.7763,-0.0031,-0.02%,26 Mar 2025
13.7794,-0.2245,-1.60%,25 Mar 2025
14.0039,0.2894,2.11%,24 Mar 2025
13.7145,0.1636,1.21%,21 Mar 2025
13.5509,0.1194,0.89%,20 Mar 2025
13.4315,0.1089,0.82%,19 Mar 2025
13.3226,0.3429,2.64%,18 Mar 2025
12.9797,0.0180,0.14%,13 Mar 2025
12.9617,-0.0455,-0.35%,12 Mar 2025
13.0072,0.0400,0.31%,11 Mar 2025
12.9672,-0.1103,-0.84%,10 Mar 2025
13.0775,-0.0134,-0.10%,07 Mar 2025
13.0909,0.0588,0.45%,06 Mar 2025
13.0321,0.1585,1.23%,05 Mar 2025
12.8736,-0.0232,-0.18%,04 Mar 2025
12.8968,-0.0350,-0.27%,03 Mar 2025
12.9318,-0.2580,-1.96%,28 Feb 2025
13.1898,0.0408,0.31%,27 Feb 2025
13.149,-0.0900,-0.68%,25 Feb 2025
13.239,-0.0795,-0.60%,24 Feb 2025
13.3185,-0.0551,-0.41%,21 Feb 2025
13.3736,0.0482,0.36%,20 Feb 2025
13.3254,0.1301,0.99%,19 Feb 2025
13.1953,-0.1100,-0.83%,18 Feb 2025
13.3053,0.0254,0.19%,17 Feb 2025
13.2799,-0.1906,-1.41%,14 Feb 2025
13.4705,-0.1340,-0.98%,13 Feb 2025
13.6045,-0.0156,-0.11%,12 Feb 2025
13.6201,-0.1254,-0.91%,11 Feb 2025
13.7455,-0.1402,-1.01%,10 Feb 2025
13.8857,0.0050,0.04%,07 Feb 2025
13.8807,-0.0053,-0.04%,06 Feb 2025
13.886,-0.1272,-0.91%,05 Feb 2025
14.0132,-0.0463,-0.33%,04 Feb 2025
14.0595,0.3345,2.44%,31 Jan 2025
13.725,0.1212,0.89%,28 Jan 2025
13.6038,-0.2501,-1.81%,27 Jan 2025
13.8539,-0.2355,-1.67%,24 Jan 2025
14.0894,0.0616,0.44%,23 Jan 2025
14.0278,0.0257,0.18%,22 Jan 2025
14.0021,-0.2193,-1.54%,21 Jan 2025
14.2214,-0.0167,-0.12%,20 Jan 2025
14.2381,-0.0693,-0.48%,17 Jan 2025
14.3074,0.0154,0.11%,16 Jan 2025
14.292,0.0129,0.09%,15 Jan 2025
14.2791,0.0300,0.21%,14 Jan 2025
14.2491,-0.3909,-2.67%,13 Jan 2025
14.64,-0.0982,-0.67%,10 Jan 2025
14.7382,-0.0063,-0.04%,09 Jan 2025
14.7445,-0.0670,-0.45%,08 Jan 2025
14.8115,0.1135,0.77%,07 Jan 2025
14.698,-0.3236,-2.15%,06 Jan 2025
15.0216,-0.0766,-0.51%,03 Jan 2025
15.0982,0.2382,1.60%,02 Jan 2025
14.86,0.0580,0.39%,31 Dec 2024
14.802,-0.0602,-0.41%,30 Dec 2024
14.8622,0.0612,0.41%,24 Dec 2024
14.801,-0.0250,-0.17%,23 Dec 2024
14.826,-0.2104,-1.40%,20 Dec 2024
15.0364,-0.0609,-0.40%,19 Dec 2024
15.0973,0.0194,0.13%,18 Dec 2024
15.0779,-0.0997,-0.66%,17 Dec 2024
15.1776,-0.1014,-0.66%,16 Dec 2024
15.279,0.1311,0.87%,13 Dec 2024
15.1479,-0.0816,-0.54%,12 Dec 2024
15.2295,0.0094,0.06%,11 Dec 2024
15.2201,0.1199,0.79%,10 Dec 2024
15.1002,-0.0817,-0.54%,09 Dec 2024
15.1819,-0.0171,-0.11%,06 Dec 2024
15.199,0.0283,0.19%,05 Dec 2024
15.1707,0.0610,0.40%,04 Dec 2024
15.1097,0.0837,0.56%,03 Dec 2024
15.026,0.0861,0.58%,02 Dec 2024
14.9399,0.0299,0.20%,29 Nov 2024
14.91,-0.0965,-0.64%,28 Nov 2024
15.0065,-0.0506,-0.34%,27 Nov 2024
15.0571,0.0708,0.47%,26 Nov 2024
