Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
9.311,0.003,0.03%,17 Apr 2025
9.308,-0.001,-0.01%,16 Apr 2025
9.309,0.005,0.05%,15 Apr 2025
9.304,-0.004,-0.04%,14 Apr 2025
9.308,0.007,0.08%,11 Apr 2025
9.301,-0.013,-0.14%,10 Apr 2025
9.314,-0.012,-0.13%,09 Apr 2025
9.326,-0.014,-0.15%,08 Apr 2025
9.34,-0.013,-0.14%,07 Apr 2025
9.353,0.002,0.02%,04 Apr 2025
9.351,-0.002,-0.02%,03 Apr 2025
9.353,0.003,0.03%,02 Apr 2025
9.35,-0.017,-0.18%,01 Apr 2025
9.367,0.021,0.22%,31 Mar 2025
9.346,0.001,0.01%,28 Mar 2025
9.345,-0.036,-0.38%,27 Mar 2025
9.381,0.003,0.03%,26 Mar 2025
9.378,-0.005,-0.05%,25 Mar 2025
9.383,0.001,0.01%,24 Mar 2025
9.382,-0.003,-0.03%,21 Mar 2025
9.385,-0.001,-0.01%,20 Mar 2025
9.386,0.000,0.00%,19 Mar 2025
9.386,0.002,0.02%,18 Mar 2025
9.384,-0.006,-0.06%,17 Mar 2025
9.39,0.003,0.03%,14 Mar 2025
9.387,-0.004,-0.04%,13 Mar 2025
9.391,-0.004,-0.04%,12 Mar 2025
9.395,0.005,0.05%,11 Mar 2025
9.39,-0.002,-0.02%,10 Mar 2025
9.392,0.002,0.02%,07 Mar 2025
9.39,-0.002,-0.02%,06 Mar 2025
9.392,0.004,0.04%,05 Mar 2025
9.388,-0.001,-0.01%,04 Mar 2025
9.389,0.006,0.06%,03 Mar 2025
9.383,-0.036,-0.38%,28 Feb 2025
9.419,0.002,0.02%,27 Feb 2025
9.417,0.004,0.04%,26 Feb 2025
9.413,0.004,0.04%,25 Feb 2025
9.409,0.006,0.06%,24 Feb 2025
9.403,0.001,0.01%,21 Feb 2025
9.402,0.001,0.01%,20 Feb 2025
9.401,0.000,0.00%,19 Feb 2025
9.401,0.005,0.05%,18 Feb 2025
9.396,0.005,0.05%,14 Feb 2025
9.391,-0.002,-0.02%,13 Feb 2025
9.393,0.000,0.00%,12 Feb 2025
9.393,0.000,0.00%,11 Feb 2025
9.393,0.001,0.01%,10 Feb 2025
9.392,-0.008,-0.09%,07 Feb 2025
9.4,0.006,0.06%,06 Feb 2025
9.394,0.006,0.06%,05 Feb 2025
9.388,0.004,0.04%,04 Feb 2025
9.384,0.001,0.01%,03 Feb 2025
9.383,0.004,0.04%,31 Jan 2025
9.379,-0.014,-0.15%,29 Jan 2025
9.393,0.023,0.25%,28 Jan 2025
9.37,-0.035,-0.37%,24 Jan 2025
9.405,0.017,0.18%,23 Jan 2025
9.388,-0.015,-0.16%,22 Jan 2025
9.403,0.004,0.04%,21 Jan 2025
9.399,0.003,0.03%,17 Jan 2025
9.396,0.005,0.05%,16 Jan 2025
9.391,0.004,0.04%,15 Jan 2025
9.387,0.003,0.03%,14 Jan 2025
9.384,-0.003,-0.03%,13 Jan 2025
9.387,0.002,0.02%,10 Jan 2025
9.385,0.001,0.01%,09 Jan 2025
9.384,-0.002,-0.02%,08 Jan 2025
9.386,-0.014,-0.15%,07 Jan 2025
9.4,0.016,0.17%,06 Jan 2025
9.384,-0.011,-0.12%,03 Jan 2025
9.395,0.016,0.17%,02 Jan 2025
9.379,-0.035,-0.37%,30 Dec 2024
9.414,0.000,0.00%,27 Dec 2024
9.414,0.004,0.04%,23 Dec 2024
9.41,-0.001,-0.01%,20 Dec 2024
9.411,-0.005,-0.05%,19 Dec 2024
9.416,0.002,0.02%,18 Dec 2024
9.414,0.000,0.00%,17 Dec 2024
9.414,0.001,0.01%,16 Dec 2024
9.413,-0.003,-0.03%,13 Dec 2024
9.416,0.005,0.05%,12 Dec 2024
9.411,-0.001,-0.01%,11 Dec 2024
9.412,0.000,0.00%,10 Dec 2024
9.412,0.004,0.04%,09 Dec 2024
9.408,-0.015,-0.16%,06 Dec 2024
9.423,0.017,0.18%,05 Dec 2024
9.406,0.002,0.02%,04 Dec 2024
9.404,0.000,0.00%,03 Dec 2024
9.404,0.003,0.03%,02 Dec 2024
9.401,0.007,0.07%,29 Nov 2024
9.394,-0.040,-0.42%,27 Nov 2024
9.434,0.011,0.12%,26 Nov 2024
9.423,0.003,0.03%,25 Nov 2024
9.42,0.000,0.00%,22 Nov 2024
9.42,-0.001,-0.01%,21 Nov 2024
9.421,0.002,0.02%,20 Nov 2024
9.419,0.003,0.03%,19 Nov 2024
