Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
13.49,-0.31,-2.25%,21 Apr 2025
13.8,-0.05,-0.36%,17 Apr 2025
13.85,-0.28,-1.98%,16 Apr 2025
14.13,0.04,0.28%,15 Apr 2025
14.09,0.05,0.36%,14 Apr 2025
14.04,0.00,0.00%,11 Apr 2025
14.04,-0.47,-3.24%,10 Apr 2025
14.51,0.68,4.92%,09 Apr 2025
13.83,-0.12,-0.86%,08 Apr 2025
13.95,0.01,0.07%,07 Apr 2025
13.94,-0.39,-2.72%,04 Apr 2025
14.33,-0.49,-3.31%,03 Apr 2025
14.82,0.03,0.20%,02 Apr 2025
14.79,0.07,0.48%,01 Apr 2025
14.72,0.06,0.41%,31 Mar 2025
14.66,-0.15,-1.01%,28 Mar 2025
14.81,-0.05,-0.34%,27 Mar 2025
14.86,-0.10,-0.67%,26 Mar 2025
14.96,0.00,0.00%,25 Mar 2025
14.96,0.16,1.08%,24 Mar 2025
14.8,0.02,0.14%,21 Mar 2025
14.78,0.03,0.20%,20 Mar 2025
14.75,0.13,0.89%,19 Mar 2025
14.62,-0.10,-0.68%,18 Mar 2025
14.72,0.02,0.14%,17 Mar 2025
14.7,0.16,1.10%,14 Mar 2025
14.54,-0.09,-0.62%,13 Mar 2025
14.63,0.09,0.62%,12 Mar 2025
14.54,-0.12,-0.82%,11 Mar 2025
14.66,-0.19,-1.28%,10 Mar 2025
14.85,-0.01,-0.07%,07 Mar 2025
14.86,-0.17,-1.13%,06 Mar 2025
15.03,0.00,0.00%,05 Mar 2025
15.03,-0.18,-1.18%,04 Mar 2025
15.21,-0.24,-1.55%,03 Mar 2025
15.45,0.21,1.38%,28 Feb 2025
15.24,-0.07,-0.46%,27 Feb 2025
15.31,0.07,0.46%,26 Feb 2025
15.24,-0.05,-0.33%,25 Feb 2025
15.29,-0.01,-0.07%,24 Feb 2025
15.3,-0.12,-0.78%,21 Feb 2025
15.42,-0.16,-1.03%,20 Feb 2025
15.58,0.04,0.26%,19 Feb 2025
15.54,0.03,0.19%,18 Feb 2025
15.51,-0.02,-0.13%,14 Feb 2025
15.53,0.01,0.06%,13 Feb 2025
15.52,-0.07,-0.45%,12 Feb 2025
15.59,-0.02,-0.13%,11 Feb 2025
