Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
113.98,-2.33,-2.00%,2025-02-28
116.31,-1.49,-1.26%,2025-02-27
117.8,2.57,2.23%,2025-02-26
115.23,-2.51,-2.13%,2025-02-25
117.74,-6.27,-5.06%,2025-02-24
124.01,0.84,0.68%,2025-02-21
123.17,-3.73,-2.94%,2025-02-20
126.9,-1.41,-1.10%,2025-02-19
128.31,1.55,1.22%,2025-02-18
126.76,-1.17,-0.91%,2025-02-14
127.93,1.52,1.20%,2025-02-13
126.41,-1.27,-0.99%,2025-02-12
127.68,-0.38,-0.30%,2025-02-11
128.06,0.21,0.16%,2025-02-10
127.85,1.37,1.08%,2025-02-07
126.48,2.07,1.66%,2025-02-06
124.41,-0.18,-0.14%,2025-02-05
124.59,1.67,1.36%,2025-02-04
122.92,2.75,2.29%,2025-02-03
120.17,-0.16,-0.13%,2025-01-28
120.33,-5.69,-4.52%,2025-01-27
126.02,1.56,1.25%,2025-01-24
124.46,-1.04,-0.83%,2025-01-23
125.5,3.78,3.11%,2025-01-22
121.72,0.29,0.24%,2025-01-21
121.43,1.05,0.87%,2025-01-17
120.38,0.68,0.57%,2025-01-16
119.7,2.69,2.30%,2025-01-15
117.01,0.62,0.53%,2025-01-14
116.39,-1.08,-0.92%,2025-01-13
117.47,-1.63,-1.37%,2025-01-10
119.1,-2.31,-1.90%,2025-01-08
121.41,-1.11,-0.91%,2025-01-07
122.52,3.10,2.60%,2025-01-06
119.42,1.40,1.19%,2025-01-03
118.02,0.44,0.37%,2025-01-02
117.58,1.47,1.27%,2024-12-31
116.11,-2.91,-2.44%,2024-12-30
119.02,0.36,0.30%,2024-12-27
118.66,2.46,2.12%,2024-12-23
116.2,-2.21,-1.87%,2024-12-20
118.41,-3.91,-3.20%,2024-12-19
122.32,-0.34,-0.28%,2024-12-18
122.66,-0.30,-0.24%,2024-12-17
122.96,1.18,0.97%,2024-12-16
121.78,0.93,0.77%,2024-12-13
120.85,0.72,0.60%,2024-12-12
120.13,-0.31,-0.26%,2024-12-11
120.44,-2.11,-1.72%,2024-12-10
122.55,0.54,0.44%,2024-12-09
122.01,0.81,0.67%,2024-12-06
121.2,-0.42,-0.35%,2024-12-05
121.62,2.65,2.23%,2024-12-04
118.97,1.30,1.10%,2024-12-03
117.67,1.07,0.92%,2024-12-02
116.6,0.62,0.53%,2024-11-29
115.98,-1.58,-1.34%,2024-11-27
117.56,-0.14,-0.12%,2024-11-26
117.7,1.54,1.33%,2024-11-25
116.16,1.74,1.52%,2024-11-22
114.42,2.10,1.87%,2024-11-21
112.32,1.69,1.53%,2024-11-20
110.63,0.34,0.31%,2024-11-19
110.29,-1.02,-0.92%,2024-11-18
111.31,-2.42,-2.13%,2024-11-15
113.73,-1.61,-1.40%,2024-11-14
115.34,0.24,0.21%,2024-11-13
115.1,2.11,1.87%,2024-11-12
112.99,1.21,1.08%,2024-11-11
111.78,1.07,0.97%,2024-11-08
110.71,2.03,1.87%,2024-11-07
108.68,3.87,3.69%,2024-11-06
104.81,1.21,1.17%,2024-11-05
103.6,-1.37,-1.31%,2024-11-04
104.97,1.46,1.41%,2024-11-01
103.51,-3.83,-3.57%,2024-10-31
107.34,0.36,0.34%,2024-10-30
106.98,0.99,0.93%,2024-10-29
105.99,-0.55,-0.52%,2024-10-28
106.54,1.86,1.78%,2024-10-25
104.68,-0.26,-0.25%,2024-10-24
104.94,0.46,0.44%,2024-10-23
104.48,0.02,0.02%,2024-10-22
104.46,-0.14,-0.13%,2024-10-21
104.6,0.13,0.12%,2024-10-18
104.47,1.53,1.49%,2024-10-17
102.94,-2.43,-2.31%,2024-10-16
105.37,-0.86,-0.81%,2024-10-15
106.23,2.73,2.64%,2024-10-14
103.5,0.75,0.73%,2024-10-10
102.75,0.71,0.70%,2024-10-09
102.04,0.77,0.76%,2024-10-08
101.27,0.27,0.27%,2024-10-07
101.0,1.44,1.45%,2024-10-04
99.56,1.11,1.13%,2024-10-03
98.45,-1.20,-1.20%,2024-10-02
99.65,-0.50,-0.50%,2024-09-30
100.15,-1.05,-1.04%,2024-09-27
101.2,1.13,1.13%,2024-09-26
100.07,0.80,0.81%,2024-09-25
99.27,-0.10,-0.10%,2024-09-24
99.37,0.66,0.67%,2024-09-23
98.71,-0.51,-0.51%,2024-09-20
99.22,1.41,1.44%,2024-09-19
97.81,0.78,0.80%,2024-09-17
97.03,-0.40,-0.41%,2024-09-16
97.43,0.73,0.75%,2024-09-13
96.7,2.48,2.63%,2024-09-12
94.22,0.46,0.49%,2024-09-11
93.76,0.73,0.78%,2024-09-10
93.03,-1.14,-1.21%,2024-09-09
94.17,-0.17,-0.18%,2024-09-05
94.34,-2.62,-2.70%,2024-09-04
