Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.263,0.000,0.00%,21 Apr 2025
1.263,-0.001,-0.08%,17 Apr 2025
1.264,-0.003,-0.24%,16 Apr 2025
1.267,0.005,0.40%,15 Apr 2025
1.262,0.008,0.64%,14 Apr 2025
1.254,0.000,0.00%,11 Apr 2025
1.254,0.014,1.13%,10 Apr 2025
1.24,-0.012,-0.96%,09 Apr 2025
1.252,0.006,0.48%,08 Apr 2025
1.246,-0.022,-1.74%,07 Apr 2025
1.268,-0.011,-0.86%,04 Apr 2025
1.279,-0.007,-0.54%,03 Apr 2025
1.286,0.000,0.00%,02 Apr 2025
1.286,0.000,0.00%,01 Apr 2025
1.286,-0.002,-0.16%,28 Mar 2025
1.288,-0.001,-0.08%,27 Mar 2025
1.289,0.000,0.00%,26 Mar 2025
1.289,-0.002,-0.15%,25 Mar 2025
1.291,0.002,0.16%,24 Mar 2025
1.289,-0.002,-0.15%,21 Mar 2025
1.291,0.000,0.00%,20 Mar 2025
1.291,0.001,0.08%,19 Mar 2025
1.29,0.003,0.23%,18 Mar 2025
1.287,0.002,0.16%,17 Mar 2025
1.285,0.004,0.31%,14 Mar 2025
1.281,-0.001,-0.08%,13 Mar 2025
1.282,0.002,0.16%,12 Mar 2025
1.28,-0.003,-0.23%,11 Mar 2025
1.283,-0.003,-0.23%,10 Mar 2025
1.286,-0.003,-0.23%,07 Mar 2025
1.289,0.003,0.23%,06 Mar 2025
1.286,0.002,0.16%,05 Mar 2025
1.284,-0.005,-0.39%,04 Mar 2025
1.289,0.003,0.23%,03 Mar 2025
1.286,-0.003,-0.23%,28 Feb 2025
1.289,-0.001,-0.08%,27 Feb 2025
1.29,0.005,0.39%,26 Feb 2025
1.285,-0.003,-0.23%,25 Feb 2025
1.288,-0.002,-0.16%,24 Feb 2025
1.29,0.002,0.16%,21 Feb 2025
1.288,-0.002,-0.16%,20 Feb 2025
1.29,-0.002,-0.15%,19 Feb 2025
1.292,0.001,0.08%,18 Feb 2025
1.291,0.003,0.23%,17 Feb 2025
1.288,0.001,0.08%,14 Feb 2025
1.287,0.003,0.23%,13 Feb 2025
1.284,-0.001,-0.08%,12 Feb 2025
1.285,0.001,0.08%,11 Feb 2025
1.284,0.001,0.08%,10 Feb 2025
1.283,-0.001,-0.08%,07 Feb 2025
1.284,0.004,0.31%,06 Feb 2025
1.28,0.002,0.16%,05 Feb 2025
1.278,0.002,0.16%,04 Feb 2025
1.276,-0.004,-0.31%,03 Feb 2025
1.28,0.005,0.39%,31 Jan 2025
1.275,0.002,0.16%,28 Jan 2025
1.273,-0.002,-0.16%,27 Jan 2025
1.275,0.000,0.00%,24 Jan 2025
1.275,0.001,0.08%,23 Jan 2025
1.274,0.002,0.16%,22 Jan 2025
1.272,0.001,0.08%,21 Jan 2025
1.271,0.000,0.00%,20 Jan 2025
1.271,0.003,0.24%,17 Jan 2025
1.268,0.005,0.40%,16 Jan 2025
1.263,0.004,0.32%,15 Jan 2025
1.259,0.000,0.00%,14 Jan 2025
1.259,-0.005,-0.40%,13 Jan 2025
1.264,-0.005,-0.39%,10 Jan 2025
1.269,0.000,0.00%,09 Jan 2025
1.269,-0.002,-0.16%,08 Jan 2025
1.271,-0.001,-0.08%,07 Jan 2025
1.272,0.001,0.08%,06 Jan 2025
1.271,0.002,0.16%,03 Jan 2025
1.269,0.001,0.08%,02 Jan 2025
1.268,0.002,0.16%,31 Dec 2024
1.266,-0.001,-0.08%,30 Dec 2024
1.267,0.001,0.08%,27 Dec 2024
1.266,0.000,0.00%,26 Dec 2024
1.266,0.002,0.16%,24 Dec 2024
1.264,0.001,0.08%,23 Dec 2024
1.263,-0.002,-0.16%,20 Dec 2024
1.265,-0.008,-0.63%,19 Dec 2024
1.273,0.000,0.00%,18 Dec 2024
1.273,-0.002,-0.16%,17 Dec 2024
1.275,0.000,0.00%,16 Dec 2024
1.275,-0.002,-0.16%,13 Dec 2024
1.277,0.001,0.08%,12 Dec 2024
1.276,0.000,0.00%,11 Dec 2024
1.276,-0.001,-0.08%,10 Dec 2024
1.277,0.001,0.08%,09 Dec 2024
1.276,0.001,0.08%,06 Dec 2024
1.275,-0.001,-0.08%,05 Dec 2024
1.276,0.001,0.08%,04 Dec 2024
1.275,0.003,0.24%,03 Dec 2024
1.272,0.004,0.32%,02 Dec 2024
1.268,0.002,0.16%,29 Nov 2024
1.266,0.001,0.08%,28 Nov 2024
1.265,0.000,0.00%,27 Nov 2024
1.265,0.000,0.00%,26 Nov 2024
1.265,0.002,0.16%,25 Nov 2024
1.263,0.002,0.16%,22 Nov 2024
1.261,0.001,0.08%,21 Nov 2024
1.26,-0.001,-0.08%,20 Nov 2024
1.261,0.001,0.08%,19 Nov 2024
1.26,0.002,0.16%,18 Nov 2024
1.258,-0.002,-0.16%,15 Nov 2024
1.26,-0.002,-0.16%,14 Nov 2024
