Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.1398,0.0003,0.03%,21 Apr 2025
1.1395,0.0001,0.01%,17 Apr 2025
1.1394,0.0001,0.01%,16 Apr 2025
1.1393,0.0000,0.00%,15 Apr 2025
1.1393,0.0003,0.03%,14 Apr 2025
1.139,0.0001,0.01%,11 Apr 2025
1.1389,0.0001,0.01%,10 Apr 2025
1.1388,0.0001,0.01%,09 Apr 2025
1.1387,0.0001,0.01%,08 Apr 2025
1.1386,0.0004,0.04%,07 Apr 2025
1.1382,0.0000,0.00%,04 Apr 2025
1.1382,0.0000,0.00%,03 Apr 2025
1.1382,0.0000,0.00%,02 Apr 2025
1.1382,0.0005,0.04%,01 Apr 2025
1.1377,0.0001,0.01%,28 Mar 2025
1.1376,0.0002,0.02%,27 Mar 2025
1.1374,0.0002,0.02%,26 Mar 2025
1.1372,0.0000,0.00%,25 Mar 2025
1.1372,0.0002,0.02%,24 Mar 2025
1.137,0.0001,0.01%,21 Mar 2025
1.1369,0.0000,0.00%,20 Mar 2025
1.1369,0.0001,0.01%,19 Mar 2025
1.1368,0.0001,0.01%,18 Mar 2025
1.1367,0.0003,0.03%,17 Mar 2025
1.1364,0.0001,0.01%,14 Mar 2025
1.1363,0.0000,0.00%,13 Mar 2025
1.1363,0.0001,0.01%,12 Mar 2025
1.1362,0.0001,0.01%,11 Mar 2025
1.1361,0.0003,0.03%,10 Mar 2025
1.1358,0.0002,0.02%,07 Mar 2025
1.1356,0.0001,0.01%,06 Mar 2025
1.1355,0.0002,0.02%,05 Mar 2025
1.1353,0.0000,0.00%,04 Mar 2025
1.1353,0.0003,0.03%,03 Mar 2025
1.135,0.0001,0.01%,28 Feb 2025
1.1349,0.0002,0.02%,27 Feb 2025
1.1347,0.0001,0.01%,26 Feb 2025
1.1346,0.0000,0.00%,25 Feb 2025
1.1346,0.0004,0.04%,24 Feb 2025
1.1342,0.0001,0.01%,21 Feb 2025
1.1341,0.0001,0.01%,20 Feb 2025
